word,et,lv,common
tilpne,tilpne,container,False
karkass,skeleton,frame,False
trio,trio,trio,True
pulss,pulse,pulse,True
lauska,Lauska,crock,False
valents,valence,Valents,False
progress,progress,progress,True
loss,castle,loss,False
kokarde,cockade,cockade,True
koma,comma,coma,False
prakse,prakse,practice,False
oma,your,mood,False
aka,aka,well,False
eksterne,An extern,externe,False
pasjanss,patience,Solitaire,False
paradigma,paradigm,paradigm,True
samalt,favorably,flour,False
kino,cinema,cinema,True
laterna,lantern,lantern,True
tehno,techno,techno,True
atlase,atlas,selection,False
tiks,tick,will,False
hunta,junta,junta,True
diagnostika,diagnostics,diagnostics,True
fauna,fauna,fauna,True
tuba,room,tuba,False
lingvistika,linguistics,linguistics,True
konfeti,confetti,confetti,True
veto,veto,veto,True
kHz,kHz,kHz,True
kopt,kopt,cultivate,False
ikebana,ikebana,ikebana,True
gauss,gauss,sluggish,False
mahorka,mahorka,shag,False
lira,lira,lira,True
selga,on,offing,False
kongresmene,Congressmen,Congresswoman,False
taiga,taiga,taiga,True
vimba,vimba,vimba,True
pampa,pampas,Pampa,False
veste,feuilleton,vest,False
halva,bad,halva,False
brass,Brass,breaststroke,False
mokas,MOKAS,torment,False
krants,tyke,Krants,False
apendiks,appendix,apendiks,False
lapsa,Lapsa,Fox,False
luba,authorization,Luba,False
video,video,video,True
karpa,Karpa,carp,False
viss,viss,everything,False
inde,Inde,poison,False
sen,sen,long ago,False
puse,puse,half,False
vai,pile,or,False
albatross,albatross,albatross,True
pauna,scrip,fardel,False
tapa,slaughtering,pin,False
harta,Charter,charter,False
lelle,uncle,doll,False
sambo,sambo,sambo,True
ekliptika,ecliptic,Ecliptic,False
konsekvents,conse-,consistent,False
ekvivalents,equivalence,equivalent,False
klade,klade,notebook,False
suga,Suga,species,False
galaktika,galaxy,galaxy,True
kolba,scull,flask,False
ka,also,how to,False
traks,Traks,crazy,False
tase,level,cup,False
jamss,yam,yam,True
kompetents,competence,competent,False
inkognito,incognito,incognito,True
mets,forest,Mets,False
koja,house,hammock,False
tabu,taboo,taboo,True
nafta,oil,oil,True
maks,pay,wallet,False
burka,the burqa,jar,False
alfa,alpha,alpha,True
paja,cauldron,pai,False
abrakadabra,abrakadabra,abracadabra,False
statistika,statistics,statistics,True
pats,pigtail,himself,False
bruto,gross,gross,True
pinne,coating,blackhead,False
saruna,Saruna,conversation,False
pelt,Pelt,find fault,False
junga,cabin boy,boy,False
soja,soya,soy,False
oi,oh,oi,False
mest,mest,throw,False
pasta,pasta,post,False
pinka,Pinka,Pinka,True
kosmonautika,astronautics,astronautics,True
plats,place,wide,False
ja,and,Yup,False
apse,apse,asp,False
kopra,copra,copra,True
auka,Auka,Auka,True
preferanss,preferanss,preference,False
moto,motto,motto,True
kalme,barrow,Calamus,False
sula,thaw,juice,False
madara,Madara,madara,False
balle,balle,ball,False
aseptika,asepsis,asepsis,True
malka,Malka,firewood,False
dingo,dingo,dingo,True
koloss,colossus,colossus,True
ondatra,muskrat,beaver rat,False
romantika,romance,romance,True
alus,foundation,beer,False
ekskurss,excursus,excursus,True
kongruents,congruence,coincident,False
avanss,advance,advance,True
pali,pali,flood,False
rondo,roundel,rondo,False
plastika,plastika,plastic,False
konservi,canned,canned food,False
lampass,stripe,Lampasas,False
stilistika,stylistics,Stylistics,False
ai,ouch,ai,False
rinda,breasts,row,False
suits,smoke,suits,False
daina,Daina,Daina,True
kurss,course,course,True
konts,leftover,account,False
mamma,mamma,mummy,False
tara,fence,tare,False
gneiss,gneiss,gneiss,True
rakete,rakete,racket,False
delta,delta,delta,True
lava,stage,lava,False
palete,palete,palette,False
tolerants,tolerance,tolerant,False
kopa,bucket,group,False
raut,rout,twitch,False
potents,potency,Potente,False
trops,trops,tropic,False
loto,lotto,lotto,True
henna,henna,henna,True
sofistika,sophistry,sophistry,True
post,mail,post,False
villa,villa,villa,True
panna,put,pan,False
tele,to,heifer,False
rasu,Oil,racial,False
boa,boa,boa,True
veranda,porch,porch,True
pane,put,panel,False
puiku,puiku,boy,False
te,you,here,False
rauda,iron,roach,False
pikolo,Pikolo,piccolo,False
krampis,cramped,Krampis,False
halle,halle,hall,False
m,m,m,True
kalla,calla,calla,True
serve,Serve,serve,False
leksika,lexicon,vocabulary,False
eh,eh,eh,True
rampa,rampa,footlights,False
rakurss,Rakurss,Pivot,False
rumba,rumba,hub,False
akropole,Acropolis,Acropolis,True
mirt,myrtle,to die,False
vest,vest,lead,False
sarast,Sarastro,get used,False
alibi,alibi,alibi,True
pliks,slap,nude,False
varde,Varde,frog,False
krelle,krelle,bead,False
pasuga,pasuga,race,False
paratakse,paratakse,paratakse,True
tulpe,tulips,tulip,False
magneto,Magneto,magneto,False
vira,Vira,hinge,False
runga,chassis,bludgeon,False
saiga,Saiga,Saiga,True
tundra,tundra,tundra,True
triode,triode,triode,True
aula,assembly hall,Hall,False
luga,rush,play,False
emu,emu,emu,True
rats,rac,wheel,False
mikro,micro,micro,True
skits,sketch,Scythian,False
slavistika,Slavic studies,slavistika,False
visa,tough,in all,False
mullu,last year,mullah,False
marabu,marabou,marabou,True
konkurss,contest,competition,False
tume,dark,tume,False
turp,TURP,thither,False
didaktika,didactics,didactics,True
TB,TB,TB,True
siroko,siroko,Sirocco,False
semantika,semantics,semantics,True
ambra,Ambergris,ambergris,False
Hz,Hz,Hz,True
porto,porto,porto,True
facto,facto,facto,True
foto,photo,photo,True
parts,parts,parts,True
floristika,floristics,floristry,False
prefekte,prefect,prefect,True
suka,suka,brush,False
stress,stress,stress,True
panda,panda,panda,True
tempera,tempera,distemper,False
aplausi,applause,applause,True
vasara,hammer,summer,False
pluss,plus,plus,True
anglistika,Anglistika,English Language,False
mulla,soil,mullah,False
irdne,irdne,irdne,True
modiste,modiste,milliner,False
vobla,vobla,vobla,True
kaste,dressing,box,False
radio,radioactivity,radio,False
konkurents,competition,competitor,False
katete,coatings,Cathetus,False
kauss,dish,cup,False
metropole,Metropole,metropolis,False
aut,aut,aut,True
re,re,re,True
fiasko,fiasco,fiasco,True
vara,property,power,False
solfedžo,solfeggio,sol-fa,False
lauta,the barn,lute,False
just,just,to feel,False
oda,spear,ode,False
intriga,intriga,intrigue,False
